district,thana,deposits
Grand Total,nan,25005643.97
DHAKA Total,nan,13017043.750000002
CHATTOGRAM Total,nan,3431209.97
nan,MOTIJHEEL,2982827.8600000003
nan,GULSHAN,2176689.56
nan,DOUBLE MOORING,1036153.3299999998
nan,KOTWALI_CHATTOGRAM,781015.1000000001
nan,BANANI,724483.9800000001
nan,DHANMONDI,686352.4499999998
nan,PALTAN,625822.4299999999
nan,TEJGAON,612770.48
SYLHET Total,nan,603875.48
CUMILLA Total,nan,553094.9800000001
NARAYANGANJ Total,nan,504000.2
GAZIPUR Total,nan,462892.02999999997
nan,RAMNA,446050.63000000006
KHULNA Total,nan,331161.99
nan,KOTWALI_SYLHET,330835.84
nan,SHAHBAG,323029.28
nan,UTTARA EAST,304739.44999999995
nan,UTTARA WEST,293982.22000000003
nan,KOTWALI,284112.54999999993
NOAKHALI Total,nan,274530.73000000004
nan,NARAYANGANJ SADAR,259889.27
nan,CHAWKBAZAR,253369.94000000003
nan,MOHAMMADPUR,250065.98000000004
TANGAIL Total,nan,247072.03999999998
BRAHMANBARIA Total,nan,246684.53
nan,PANCHLAISH,232250.54
RAJSHAHI Total,nan,230367.06000000003
nan,MIRPUR,224876.9
FENI Total,nan,223770.19
MYMENSINGH Total,nan,218299.69000000003
NARSHINGDI Total,nan,217033.12999999998
nan,KOTWALI_DHAKA,213527.93000000002
nan,CANTONMENT,210403.49000000005
JASHORE Total,nan,204307.72999999998
BOGURA Total,nan,203582.00000000006
CHANDPUR Total,nan,202536.86000000002
BARISHAL Total,nan,199176.97000000003
nan,KOTWALI_CUMILLA,198926.00999999998
nan,BANDAR CTG.,193326.07
nan,SHER-E-BANGLA NAGAR,193125.64000000004
COX'S BAZAR Total,nan,190977.42999999996
MOULVIBAZAR Total,nan,187800.57
MUNSHIGANJ Total,nan,170445.13
nan,JOYDEBPUR (GAZIPUR)/,167509.85
nan,NEW MARKET,166980.48
nan,KOTWALI_KHULNA,158065.80000000002
PABNA Total,nan,152898.31
nan,VATARA,150705.78
FARIDPUR Total,nan,149961.96000000002
nan,BOALIA,146980.80000000002
SIRAJGANJ Total,nan,142469.46999999997
nan,PALLABI,141269.21
nan,SAVAR,137960.9
nan,KALABAGAN,137810.91
LAKSHMIPUR Total,nan,137369.78000000003
nan,BANGSHAL,135133.81
nan,FENI SADAR,133447.66999999998
DINAJPUR Total,nan,132410.58000000002
KISHOREGANJ Total,nan,132147.49
nan,HATHAZARI,131713.52
RANGPUR Total,nan,130886.32999999999
nan,KOTWALI_BOGURA,128588.73
nan,KOTWALI_BARISHAL,126535.1
KUSHTIA Total,nan,123586.05
nan,BRAHMANBARIA SADAR,122262.68000000002
nan,KOTWALI_MYMENSINGH,120247.66999999998
nan,KAFRUL,113842.65999999999
nan,ASHULIA,110125.84
NAOGAON Total,nan,105198.87999999998
MADARIPUR Total,nan,102054.1
MANIKGANJ Total,nan,101484.3
HABIGANJ Total,nan,100572.92000000003
SATKHIRA Total,nan,99783.21999999999
nan,BADDA,98738.67000000001
nan,TANGAIL SADAR,94273.64
nan,COX'S BAZAR SADAR,89959.41999999997
nan,RAMPURA,87063.04999999999
nan,MOULVIBAZAR SADAR,86896.01999999999
nan,WARI,86642.30999999998
nan,KOTWALI_FARIDPUR,85380.59999999999
nan,NARSHINGDI SADAR,84400.27999999998
SHARIATPUR Total,nan,83351.09999999999
nan,KERANIGANJ,82600.54
JAMALPUR Total,nan,82059.52
nan,RAOZAN,81641.44
nan,FATIKCHARI,80583.99999999999
BAGERHAT Total,nan,79814.47
nan,KUSHTIA SADAR,79796.54
nan,KHILKHET,79296.51
SUNAMGANJ Total,nan,78839.62
nan,HATIRJHEEL,77450.94000000002
NOAKHALI,BEGUMGANJ,73964.87
DHAKA,ADABOR,73286.83
JHENAIDAH Total,nan,72935.06999999999
nan,SONADANGA,72764.27
BHOLA Total,nan,72105.98
nan,PABNA SADAR,71177.87
nan,CHANDGAON,69755.4
GOPALGANJ Total,nan,69311.25999999998
PATUAKHALI Total,nan,68760.06000000001
nan,SHAHJAHANPUR,68580.91
nan,NAWABGANJ,66281.95999999998
PIROJPUR Total,nan,66101.29
NATORE Total,nan,64806.33
nan,JATRABARI,64395.89999999999
CHAPAINAWABGANJ Total,nan,63433.380000000005
CHANDPUR,CHANDPUR SADAR,63388.33
nan,DARUS SALAM,61312.770000000004
nan,SUTRAPUR,60994.65999999999
nan,RUPGANJ,60768.03
nan,SITAKUNDA,60448.970000000016
nan,TONGI EAST,59105.44
nan,NAOGAON SADAR,57756.23999999998
nan,KHILGAON,57311.83
nan,DHAKA INT. AIRPORT,57029.87999999999
nan,SUDHARAM,56487.29
nan,MUNSHIGANJ SADAR,55780.979999999996
nan,MADHABDI,55238.55999999999
nan,SIRAJGANJ SADAR,54407.32
NILPHAMARI Total,nan,54006.20000000001
nan,HALISHAR,53997.40000000001
nan,SREEPUR,53573.259999999995
nan,KULSHI,52717.999999999985
nan,LAKSHMIPUR SADAR,52712.08
GAIBANDAH Total,nan,52499.84
nan,MANIKGANJ SADAR,52314.420000000006
nan,DAUDKANDI,50834.560000000005
nan,DOHAR,50831.28
CHUADANGA Total,nan,50374.23
nan,BIANI BAZAR,50244.479999999996
nan,SONARGAON,50031.66
nan,FATULLAH(M),48723.16
RAJBARI Total,nan,48588.92
nan,DASKHINKHAN,48268.049999999996
nan,PAHARTALI,48241.31
nan,SATKHIRA SADAR,47588.549999999996
nan,MADARIPUR SADAR,47253.689999999995
NETROKONA Total,nan,47199.200000000004
nan,KALIGANJ,46837.130000000005
nan,LOHAGARA,46784.850000000006
nan,PATIYA,46597.25000000001
nan,CHAUDDAGRAM,45358.299999999996
nan,LAKSHAM,44816.61999999999
nan,RANGUNIA,44474.599999999984
nan,SOUTH KERANIGANJ,43197.549999999996
nan,KISHOREGANJ SADAR,43103.13
nan,HAJIGANJ,41937.57000000001
nan,KALIAKOIR,41888.77
nan,CHAPAINAWABGANJ SADA,40949.42999999999
nan,JAMALPUR SADAR,40449.030000000006
nan,SIDDHIRGANJ,40174.25
nan,SONAIMURI,39593.53
nan,JHENIDAH SADAR,38200.05
nan,DEMRA,37996.03
nan,EPZ,37966.25
nan,BAIOZID BOSTAMI,37857.41999999999
nan,KADAMTOLI,37836.369999999995
MAGURA Total,nan,37708.259999999995
JHALOKATHI Total,nan,37417.630000000005
THAKURGAON Total,nan,37296.329999999994
nan,LALBAGH,36932.4
nan,COMPANIGANJ,36797.82000000001
KURIGRAM Total,nan,36611.17999999999
GOPALGANJ,GOPALGANJ SADAR,35991.96
NARAIL Total,nan,35958.71
nan,BHAIRAB,35849.32999999999
JAYPURHAT Total,nan,35504.35
nan,HABIGANJ SADAR,35358.65
nan,SATKANIA,34932.65000000001
nan,CHATKHIL,34392.829999999994
nan,MURADNAGAR,34371.1
nan,SABUJBAGH,34301.700000000004
SHERPUR Total,nan,33603.340000000004
nan,SREENAGAR,33500.88
nan,GOLAPGANJ,33318.47
nan,MIRZAPUR,33025.36000000001
nan,HAZARIBAGH,32917.73
nan,NATORE SADAR,32580.27
nan,SADARGHAT,32377.62
BARGUNA Total,nan,32005.529999999995
BHOLA,BHOLA SADAR,31722.54
COX'S BAZAR,CHAKARIA,31349.089999999997
nan,DAULATPUR,31248.510000000002
nan,SREEMANGAL,31134.339999999997
nan,CHANDINA,31104.269999999993
RANGAMATI Total,nan,30746.890000000003
nan,DAGANBHUIYAN,30466.679999999997
nan,SERAJDIKHAN,30304.040000000005
nan,PATUAKHALI SADAR,30214.2
nan,ISHWARDI,30182.340000000004
nan,NARIA,29771.590000000004
nan,PATENGA,29701.600000000002
nan,ASHUGANJ,29679.129999999994
nan,PALASH,29550.12
nan,TONGI WEST,29486.89
nan,OSMANI NAGAR,29378.27
nan,CHANDANAISH,28924.820000000003
nan,DHAMRAI,28677.570000000003
nan,SAYEDPUR,28581.880000000005
nan,RAIPUR,28506.210000000006
nan,TEJGAON I/A,28393.8
nan,SHYAMPUR,28118.239999999998
nan,RAMGANJ,27877.17
nan,CUMILLA SADAR SOUTH,27293.260000000002
FENI,CHHAGALNAIYA,27284.239999999998
nan,THAKURGAON SADAR,27248.82
nan,SANDWIP,26838.03
nan,SHIBCHAR,26586.510000000002
NARAYANGANJ,ARIHAZAR,26386.480000000003
nan,JORARGANJ,26091.129999999997
nan,KACHUA,26072.579999999994
nan,NABINAGAR,26052.960000000003
nan,RAJBARI SADAR,26019.179999999997
nan,FARIDGANJ,25880.489999999998
MAGURA,MAGURA SADAR,25661.080000000005
nan,TONGI BARI,25344.69
MYMENSINGH,BHALUKA,25328.22
nan,CHUADANGA SADAR,25128.800000000003
MEHERPUR Total,nan,25126.199999999997
nan,BISHWANATH,25106.09
nan,DAKHIN SURMA,25061.340000000004
nan,KALIHATI,24996.390000000003
nan,KONABARI,24959.97
nan,KULAURA,24921.69
nan,SUNAMGANJ SADAR,24460.639999999996
BAGERHAT,BAGERHAT SADAR,24446.12
nan,ANWARA,24124.79
nan,BARURA,23998.809999999998
nan,MIRSARAI,23994.65
nan,NETROKONA,23898.86
nan,SHAHPORAN,23811.959999999995
nan,KAPASIA,23676.8
JHALOKATHI,JHALOKATI SADAR,23402.72
nan,SHAHJADPUR,22917.859999999997
LALMONIRHAT Total,nan,22820.109999999997
nan,JAYPURHAT,22781.26
nan,SHERPUR SADAR,22767.43
nan,KOTWALI_RANGAMATI,22668.529999999995
nan,BOALKHALI,22432.74
nan,BHANGA,22079.79
MOULVIBAZAR,BARALEKHA,21604.86
PANCHAGARH Total,nan,21571.670000000002
nan,BURICHANG,21356.289999999997
JASHORE,ABHOYNAGAR,21091.609999999997
nan,BANSHKHALI,20995.84
nan,MATLAB SOUTH,20750.26
nan,GAIBANDAH SADAR,20660.59
nan,SHIBGANJ,20569.28
nan,RAJOIR,20234.2
nan,CHHATAK,20139.62
nan,PALONG/SADAR,20069.77
nan,SINGAIR,20001.1
nan,NABIGANJ,19956.53
GAZIPUR,BASON,19745.940000000002
nan,KASBA,19698.55
nan,GOURANADI,18893.27
KHAGRACHARI Total,nan,18841.24
nan,GHATAIL,18761.53
nan,BANCHARAMPUR,18738.579999999998
nan,SARISHABARI,18680.360000000004
LAKSHMIPUR,CHANDRAGANJ,18655.48
nan,RAJPARA,18600.399999999998
nan,SENBAGH,18549.26
nan,SHAKHIPUR,18414.65
nan,BAKOLIA,18387.589999999997
nan,SHAH ALI,18061.25
nan,BANDAR(M),18027.299999999996
nan,JAGANNATHPUR,17982.29
nan,SONAGAZI,17891.14
nan,NANGOLKOT,17823.73
nan,PIROJPUR SADAR,17736.739999999998
nan,MONGLA,17595.12
nan,SHERPUR,17157.41
nan,NARAIL,17088.28
BRAHMANBARIA,AKHAURA,17027.37
nan,SANTHIA,16893.32
SIRAJGANJ,BELKUCHI,16709.05
nan,MEHERPUR,16498.27
nan,BARGUNA SADAR,16455.249999999996
nan,MONOHARDI,16168.579999999996
nan,MATHBARIA,15804.78
nan,RAIPURA,15699.929999999998
nan,FENCHUGANJ,15693.64
nan,GACHA,15691.0
nan,EIDGAON,15631.36
nan,MADHABPUR,15605.81
BANDARBAN Total,nan,15560.119999999999
nan,KHALISHPUR,15296.009999999998
nan,FULBARI,15253.4
nan,TEKNAF,15060.04
nan,JHIKARGACHA,14979.73
nan,NILPHAMARI SADAR,14843.789999999999
nan,ULLAPARA,14572.830000000002
nan,GOBINDAGANJ,14510.16
nan,KURIGRAM SADAR,14406.02
nan,MATLAB UTTAR,14373.179999999998
nan,CHARFESHION,14195.509999999998
nan,HOMNA,14003.74
nan,UKHIA,13484.020000000002
nan,BENAPOLE,13396.210000000003
nan,DEBIDWAR,13295.17
nan,LOHAJONG,13267.849999999999
nan,NESARABAD,13135.599999999999
nan,KANAIGHAT,13096.08
nan,RUPNAGAR,12766.04
nan,TRISAL,12679.43
nan,MUKTAGACHA,12437.78
nan,PANGSHA,12299.590000000004
nan,KAMRANGIRCHAR,12284.760000000002
MUNSHIGANJ,GAZARIA,12246.7
nan,PAIKGACHA,12161.840000000002
nan,PANCHAGARH SADAR,11983.839999999998
nan,MADHUPUR,11977.890000000001
nan,SHYAMNAGAR,11963.65
nan,KATIADI,11929.900000000001
nan,LOHAGORA,11901.280000000002
nan,KHAN JAHAN ALI,11883.83
nan,KALAROA,11504.22
nan,JALALABAD,11295.09
nan,MOTIHAR,11240.2
nan,LALMONIRHAT SADAR,11060.109999999997
nan,KHAGRACHARI SADAR,11018.630000000001
KUSHTIA,BHERAMARA,10939.900000000001
nan,SHIBPUR,10846.900000000001
nan,TURAG,10791.490000000002
nan,SHAHRASTI,10743.490000000002
nan,RAMU,10679.650000000001
nan,MUGDHA,10652.73
nan,DUMURIA,10520.63
nan,BAKERGANJ,10510.069999999998
PIROJPUR,BHANDARIA,10491.239999999998
nan,BANDARBAN SADAR,10488.089999999998
nan,MORRELGANJ,10409.93
PATUAKHALI,BAWPHAL,10204.33
nan,GOFFARGAON,10088.92
nan,SADARPUR,10063.52
nan,BAJITPUR,10034.289999999999
CHUADANGA,ALAMDANGA,10032.869999999999
nan,BOALMARI,10026.679999999998
SHARIATPUR,BHEDERGANJ,9941.04
nan,SARSHA,9906.23
nan,FAKIRHAT,9853.33
nan,MOHADEVPUR,9829.42
nan,PARBOTIPUR,9587.550000000001
nan,SHAH MAKDUM,9523.810000000001
nan,KALAPARA,9455.02
nan,PAKUNDIA,9430.909999999998
nan,DAMODIYA,9411.0
nan,DELDUAR,9331.96
CHATTOGRAM,AKBOR SHAH,9302.130000000001
nan,NAGARPUR,9286.480000000001
nan,MUKSUDPUR,9220.36
nan,PIRGANJ,9181.360000000002
nan,ZAJIRA,9110.82
nan,ZAKIGANJ,8995.2
nan,MONIRAMPUR,8967.560000000001
nan,DUPCHANCHIA,8920.900000000001
nan,KAMALGANJ,8915.42
SYLHET,BALAGANJ,8913.560000000001
nan,BURHANUDDIN,8881.31
nan,KESHABPUR,8832.349999999999
nan,WAZIRPUR,8710.82
nan,CHOWGACHA,8688.69
nan,UTTARKHAN,8668.0
nan,BIMANBONDAR,8652.800000000001
nan,KASIANI,8623.58
nan,PATNITOLA,8573.159999999998
nan,DAMURHUDA,8495.28
nan,PUTHIA,8487.920000000002
nan,GENDARIA,8469.210000000001
DINAJPUR,BIRAMPUR,8440.580000000002
nan,BERA,8190.219999999999
nan,BHUAPUR,8088.54
nan,MITHAPUKUR,8058.91
nan,KUMARKHALI,7985.480000000001
MADARIPUR,KALKINI,7979.72
nan,KOTWALIPARA,7975.400000000001
nan,SATURIA,7970.24
nan,JAINTIAPUR,7917.209999999999
nan,MONOHORGANJ,7848.580000000001
TANGAIL,BASAIL,7805.169999999999
nan,PARSHURAM,7783.71
nan,KARNAPHULI,7564.29
nan,SHAYESTAGANJ,7559.36
nan,TUNGIPARA,7500.01
nan,PHULTALA,7464.389999999999
nan,BARAIGRAM,7424.98
nan,BAGMARA,7386.3099999999995
nan,MAHESKHALI,7358.25
BOGURA,ADAMDIGHI,7327.330000000001
nan,GALACHIPA,7273.870000000001
MEHERPUR,GANGNI,7271.5199999999995
nan,RAJANAGAR,7269.3
nan,GODAGARI,7240.690000000001
nan,CHARBHADRASAN,7226.129999999999
nan,MEHENDIGANJ,7222.930000000001
nan,BANARIPARA,7141.800000000001
nan,FULBARIA,7087.360000000001
nan,GAZIPUR SADAR,7085.3600000000015
nan,JURI,7058.979999999999
nan,LALMOHAN,7021.83
nan,CHATMOHAR,6995.53
nan,SAILKUPA,6985.11
nan,ISHWARGANJ,6919.420000000001
nan,FULGAZI,6896.75
nan,LALPUR,6890.280000000002
nan,BRAHMANPARA,6867.280000000001
nan,CHUNARUGHAT,6866.219999999999
nan,SHIVALAYA,6857.18
nan,CHOWHALI,6752.379999999999
nan,KABIRHAT,6644.73
nan,JIBAN NAGAR,6599.01
nan,RAJAPUR,6571.860000000001
nan,MANDA,6547.670000000001
nan,BAHUBAL,6522.099999999999
NARAIL,KALIA,6374.620000000001
nan,SUJANAGAR,6345.280000000001
nan,MADARGANJ,6302.989999999999
nan,RAIGANJ,6293.720000000001
nan,HARIRAMPUR,6134.449999999999
nan,GOPALPUR,6122.700000000001
nan,DAULATKHAN,6116.609999999999
nan,KAMALNAGAR,6060.799999999999
nan,GOMOSTAPUR,6026.46
nan,SINGRA,5967.59
nan,SUNDARGANJ,5914.010000000001
nan,SARAIL,5811.509999999998
nan,KOTCHANDPUR,5784.130000000001
nan,MADHUKHALI,5776.149999999999
nan,MULADI,5763.64
nan,KAZIPUR,5671.72
nan,BAGERPARA,5639.540000000001
nan,DURGAPUR,5543.750000000003
nan,DERAI,5505.01
nan,BOCHAGANJ,5475.849999999999
nan,TITAS,5460.869999999999
nan,GHIOR,5448.99
nan,GOWAINGHAT,5224.25
nan,PEKUA,5219.98
nan,BIRGANJ,5174.01
NATORE,BAGATIPARA,5172.62
nan,GURUDASPUR,5164.92
NARSHINGDI,BELABO,5128.75
nan,BABUGANJ,5116.359999999999
nan,SAPAHAR,5113.390000000001
nan,HATIA,5035.2699999999995
nan,PHULPUR,5002.820000000001
nan,DHANBARI,4987.79
nan,MELANDAH,4906.830000000001
nan,NANDAIL,4898.55
nan,PATGRAM,4864.71
nan,ISLAMPUR,4800.09
nan,CHAR JABBER,4797.89
nan,HALUAGHAT,4782.6
nan,PATKELGHATA,4760.8
BARISHAL,AGAILJHARA,4634.0
nan,KASHIMPUR,4583.1
nan,SALANGA,4582.12
nan,CHIRIRBANDAR,4562.2
nan,BANICHANG,4547.079999999999
KHULNA,BATIAGHATA,4535.889999999999
nan,BHASHANTEK,4531.549999999999
nan,GOOSHAIRHAT,4502.09
nan,RAMPAL,4497.18
nan,ENAYETPUR,4492.16
nan,HOSSAINPUR,4466.719999999999
nan,DEBHATA,4459.150000000001
SATKHIRA,ASHASUNI,4455.81
nan,PURBADHALA,4450.540000000001
nan,PATHORGHATA,4411.709999999999
NAOGAON,ATRAI,4391.69
nan,PANCH BIBI,4387.9800000000005
nan,MOHESHPUR,4352.98
nan,GABTALI,4351.7699999999995
nan,NALCHITY,4336.31
nan,GOURIPUR,4320.8
FARIDPUR,ALFADANGA,4317.54
nan,ISLAMI UNIVERSITY,4223.47
RANGPUR,BADARGANJ,4200.73
nan,TALA,4189.42
JAMALPUR,BAKSHIGANJ,4175.59
BARGUNA,AMTALI,4166.65
nan,ULIPUR,4156.74
nan,LALMAI,4138.0599999999995
JAYPURHAT,AKKELPUR,4124.69
KURIGRAM,BHURUNGAMARI,4084.03
nan,NAGARKANDA,4075.8
RAJBARI,BALIAKANDI,4068.52
nan,SARANKHOLA,4067.4600000000005
nan,BAGHA,4063.14
nan,NIAMOTPUR,4046.8900000000003
nan,SONATOLA,4042.2299999999996
nan,DHUNAT,4031.6699999999996
nan,KULIARCHAR,3990.3500000000004
nan,MIRJAGANJ,3936.14
nan,KAOWKHALI,3905.5500000000006
nan,NAGESWARI,3872.42
nan,JALDHAKA,3833.94
nan,SHALIKHA,3823.43
nan,NAZIRPUR,3775.5200000000004
nan,NASIR NAGAR,3732.7099999999996
nan,DUMKI,3730.0099999999998
nan,NANDIGRAM,3695.059999999999
nan,MOHANPUR,3694.380000000001
nan,NALITABARI,3692.4600000000005
nan,PIRGACHA,3690.09
nan,BHUJPUR,3684.9999999999995
nan,BIJOYNAGAR,3681.09
nan,ROWMARI,3658.4799999999996
nan,RUPSA,3630.04
nan,BETAGI,3611.2
nan,DACOPE,3602.45
nan,RAMGATI,3558.06
nan,KAPTAI,3553.9900000000002
nan,MOHONGANJ,3496.8999999999996
nan,RANISANKAIL,3451.75
nan,KARIMGANJ,3439.08
nan,SAGHATTA,3417.3199999999997
nan,DEBIGANJ,3405.2200000000003
nan,PALASHBARI,3388.5300000000007
nan,MAGLABAZAR,3365.5799999999995
nan,GOALANDA,3364.5200000000004
nan,BHANGURA,3345.25
nan,HAKIMPUR,3323.7300000000005
nan,MEGHNA,3303.3100000000004
nan,KAHALOO,3295.5899999999997
nan,BIROL,3277.2400000000002
nan,SADULLAPUR,3275.97
nan,CHITALMARI,3265.669999999999
nan,SARIAKANDI,3130.5099999999998
nan,KATHALIA,3106.7599999999998
nan,KAMARKANDA,3104.5999999999995
nan,CHARGHAT,3069.79
nan,KHOKSA,3055.0599999999995
nan,KENDUA,3044.33
nan,PABA,3036.49
nan,ATAIKULA,3017.68
nan,TARASH,2965.6600000000008
nan,FARIDPUR,2922.96
nan,DOMAR,2851.0799999999995
nan,KOYRA,2843.26
nan,KALUKHALI,2837.1499999999996
nan,HIJLA,2798.23
nan,NAKLA,2764.0699999999997
MANIKGANJ,DAULATPUR,2757.9300000000003
nan,DEWANGANJ,2744.6000000000004
nan,TAZUMUDDIN,2728.97
nan,KALAI,2721.5999999999995
nan,SREEBORDI,2699.7499999999995
nan,HAIMCHAR,2687.7200000000003
nan,TANORE,2668.09
nan,BADALGACHI,2588.98
HABIGANJ,AJMIRIGANJ,2541.6200000000003
nan,BAMNA,2512.96
nan,NACHOLE,2493.9900000000002
nan,GANGACHARA,2473.25
NILPHAMARI,DIMLA,2452.65
nan,DASHMINA,2413.86
JHENAIDAH,HARINAKUNDU,2395.7500000000005
nan,MADAN,2386.4599999999996
nan,MOLLAHAT,2382.9700000000003
nan,TARAIL,2368.7799999999997
nan,JAMALGANJ,2349.27
nan,BODA,2335.6200000000003
nan,RANI NAGAR,2327.0899999999997
nan,TARAKANDA,2319.59
CUMILLA,BANGORA,2295.0599999999995
nan,KAUNIA,2283.5400000000004
nan,LAMA,2261.2999999999997
nan,MITHAMON,2259.46
nan,TEROKHADA,2242.36
nan,KUTUBDIA,2235.69
nan,RAMGARH,2211.6300000000006
nan,ATGHORIA,2187.07
nan,HATIBANDHA,2185.7599999999998
nan,INDURKANI,2182.9400000000005
nan,KAHAROLE,2146.0600000000004
nan,NIKLI,2087.1900000000005
PANCHAGARH,ATWARI,2086.03
nan,RAJARHAT,2065.3
nan,DAKSHIN SUNAMGANJ,2053.88
nan,PORSHA,2044.31
nan,BARHATTA,2014.15
nan,KALMAKANDA,2004.67
nan,TARAGANJ,2000.2600000000007
nan,DHAMOIRHAT,1980.01
KISHOREGANJ,ASTAGRAM,1900.81
nan,GHORAGHAT,1846.19
THAKURGAON,BALIADANGI,1821.86
nan,PUBAIL,1808.78
LALMONIRHAT,ADITMARI,1800.23
nan,TETULIA,1760.97
nan,DOWAR BAZAR,1731.4099999999999
SHERPUR,JHENAIGATI,1679.6200000000001
nan,CHILMARI,1664.9100000000003
PABNA,AMINPUR,1640.72
nan,HARAGACH,1625.58
nan,LAKHAI,1615.5299999999997
nan,AIRPORT,1614.1499999999999
nan,NAL DANGA,1605.7500000000002
nan,KHETLAL,1488.7699999999998
NETROKONA,ATPARA,1463.7300000000002
nan,KISHOREGANJ,1442.86
nan,MATIRANGA,1378.2100000000003
CHAPAINAWABGANJ,BHOLAHAT,1378.06
nan,MUZIBNAGAR,1356.4199999999998
GAIBANDAH,FULCHHARI,1333.24
nan,DHOBAURA,1319.91
nan,DHARMAPASHA,1300.33
KHAGRACHARI,DIGHINALA,1297.8800000000003
nan,ITNA,1287.59
nan,HARIPUR,1265.9
nan,HARINTANA,1264.65
nan,SUBARNACHAR,1232.98
nan,KHANSHAMA,1198.58
nan,KATAKHALI,1172.49
RANGAMATI,BAGHAICHARI,1129.1299999999999
nan,TAHIRPUR,1125.7
nan,DIGHALIA,1089.2800000000002
RAJSHAHI,AIRPORT,1043.1100000000001
nan,SALDA,1015.72
SUNAMGANJ,BISHWAMVARPUR,1012.0300000000001
nan,MONPURA,972.68
nan,NAIKHANGCHARI,894.8
nan,PAGLA,866.6399999999999
nan,PANCHARI,865.1700000000001
nan,MOHIPUR,854.6000000000001
nan,TALTOLI,847.76
nan,MANIKCHARI,832.6599999999999
nan,SALLA,790.8200000000002
nan,TAJHAT,787.76
nan,KALIAJURI,787.2199999999999
BANDARBAN,ALI KADAM,713.15
nan,RAJIBPUR,697.68
nan,RANGABALI,677.9799999999999
nan,LABONCHORA,665.17
nan,MAHALCHARI,648.1600000000001
nan,NARAGATI,594.51
nan,LANGADU,571.0400000000001
nan,SAKHIPUR,544.8000000000001
nan,CHAR SHASIVUSON,466.52000000000004
nan,THANCHI,446.48
nan,RUMA,444.35
nan,RAJASTHALI,412.7300000000001
nan,MADHAYA NAGAR,388.61999999999995
nan,NANUERCHAR,351.49
nan,RUHIA,339.53
nan,BARKAL,328.52
nan,ROWANGCHARI,311.94
nan,BELAICHARI,298.7199999999999
nan,LAKSHMICHARI,295.03999999999996
nan,GUIMARA,293.88000000000005
nan,KORNOHAR,268.15
nan,CHANDRAGHONA,251.19
nan,JURAICHARI,250.54
nan,KAZIRHAT,236.56000000000006
nan,DARSHANA,118.25
